[2B],[6B],[51B],[52B],[53B],[54B],[55B],[56B]|19.8252968807|45.2491656314|FUTOŠKA - CARA DUŠANA|1034|I
[2B],[6B],[9A],[51B],[52B],[53B],[54B],[55B],[56B]|19.8083415635|45.247517576|FUTOŠKI PUT - VRŠAČKA|1033|I
[2B],[3AA],[4B],[5B],[5NA],[6B],[10B],[14B],[15B],[18A]|19.8377609655|45.2522080286|JEVREJSKA - BUL. OSLOBOĐENJA||I
[2B],[6B],[51B],[52B],[53B],[54B],[55B]|19.8300215701|45.2490835157|FUTOŠKA - ANTONA ČEHOVA|1034|I
[1B],[1ZB],[3A],[8B],[19B]|19.8419960985|45.255185246|USPENSKA - POZORIŠNI TRG|ee292|I
[3A],[8B],[18B]|19.8263471168|45.2595168963|BUL .KRALJA PETRA I - GROBLJE|ee129|I
[3A]|19.8375257882|45.2588786887|VOJVODE BOJOVIĆ - SOCIALNO|ee109|I
[1B],[1ZB],[3A],[3AB],[4A],[6A],[8B],[12B],[18B],[19B]|19.844141|45.253519|BUL. MIHAJLA PUPINA - POTHODNIK|ee948|I
[3A],[9B],[19B]|19.87968712|45.2464017138|PRERADOVIĆEVA - MARINA DRŽIĆA|ee059|I
[3A],[3B],[9A],[9B],[19A],[19B]|19.8878906109|45.2360062995|PETROVARADIN - OKRETNICA|ee5914|I
[3A],[9B],[19B],[60B],[61B],[62B]|19.8853872807|45.2396101516|PETROVARADIN - ŽELEZNIČKA STANICA|ee6014|I
[3A],[9B],[19B]|19.8814113961|45.2439233024|PRERADOVIĆEVA - BOŽIDAR ADŽIJE|ee6114|I
[3A],[3AB],[9B],[19B],[60B],[61B],[62B],[64B]|19.8757045697|45.2496755784|PRERADOVIĆEVA - BENZINSKA PUMPA|ee6214|I
[3A],[3AB],[6A],[9B],[19B],[60B],[61B],[62B],[64B],[69B]|19.8519122087|45.2542020579|BUL. MIHAJLA PUPINA - DUNAVSKI PARK||I
[3A],[3AB],[9B],[19B],[69B]|19.8689433116|45.2526031657|PRERADOVIĆEVA - LOVAČKI DOM|ee6414|I
[3A],[3AB],[9B],[19B],[60B],[61B],[62B],[64B],[69B]|19.8623634945|45.2548163902|BEOGRADSKA - VLADIMIRA NAZORA|ee6514|I
[3A],[8B],[18B]|19.8314132035|45.2605767651|BUL .KRALJA PETRA I - BUL. OSLOBOĐENJA|ee7015|I
[3A],[5A],[11B],[18B]|19.8213763649|45.260450059|RUMENAČKA - DOM ZDRAVLJA|ee7115|I
[3A],[7B],[18B]|19.8156966528|45.2634661042|KORNELIJA STANKOVIĆA - FILIPA FILIPOVIĆA|ee7315|I
[3A],[13B]|19.8111852139|45.2640112807|MILENKA GRČIĆA - BANATSKA|ee7415|I
[3A],[13B]|19.808222|45.265188|OBLAČIĆA RADA - JANKA ČMELIKA|1013|I
[3A],[5A],[7B],[14A],[18B],[41A],[42A],[43A],[51B]|19.8182127414|45.2633439588|RUMENAČKA - BUL. JAŠE TOMIĆA|1031|I
[3A],[3AB],[9B],[19B],[60B],[61B],[62B],[64B],[69B]|19.8732154355|45.251431704|PRERADOVIĆEVA - ŠENOINA||I
[1A],[1ZA],[3B],[8A],[19A]|19.8416504854|45.255203707|USPENSKA - ŠAFARIKOVA|ee261|I
[3B],[13A]|19.8083164398|45.2649285714|JANKA ČMELIKA - OBLAČIĆA RADA|ee1710|I
[3B],[7A],[18A]|19.8135399393|45.2620111469|KORNELIJA STANKOVIĆA - ILIJE BIRČANINA|ee1910|I
[3B]|19.8371378326|45.2588985768|VOJVODE BOJOVIĆA - O.Š. IVO LOLA RIBAR|ee2611|I
[1A],[1ZA],[3B],[3AA],[4B],[6B],[8A],[12A],[18A],[19A]|19.844187|45.253337|BUL. MIHAJLA PUPINA - POTHODNIK|ee806|I
[3B],[3AA],[6B],[9A],[16A],[19A],[60A],[61A],[62A],[64A],[69A]|19.8530960428|45.2542765403|BUL. MIHAJLA PUPINA - SONJE MARINKOVIĆ|ee816|I
[3B],[3AA],[9A],[19A],[60A],[61A],[62A],[64A],[69A]|19.8620128358|45.2547734365|BEOGRADSKA - LISINSKOG|ee958|I
[3B],[3AA],[9A],[19A],[69A]|19.8678103709|45.2525866389|PRERADOVIĆEVA - LOVAČKI DOM|ee968|I
[3B],[9A],[19A]|19.8801002749|45.2455157784|PRERADOVIĆEVA - MARINA DRŽIĆA|ee998|I
